Rank,Title,Lifetime Gross,Year
1,Avatar,"$2,847,397,339 ",2009
2,Avengers: Endgame,"$2,797,501,328 ",2019
3,Titanic,"$2,201,647,264 ",1997
4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700 ",2015
5,Avengers: Infinity War,"$2,048,359,754 ",2018
6,Spider-Man: No Way Home,"$1,901,218,408 ",2021
7,Jurassic World,"$1,671,537,444 ",2015
8,The Lion King,"$1,663,250,487 ",2019
9,The Avengers,"$1,518,815,515 ",2012
10,Furious 7,"$1,515,341,399 ",2015
11,Frozen II,"$1,450,026,933 ",2019
12,Avengers: Age of Ultron,"$1,402,809,540 ",2015
13,Black Panther,"$1,347,597,973 ",2018
14,Harry Potter and the Deathly Hallows: Part 2,"$1,342,359,942 ",2011
15,Star Wars: Episode VIII - The Last Jedi,"$1,332,698,830 ",2017
16,Jurassic World: Fallen Kingdom,"$1,310,466,296 ",2018
17,Frozen,"$1,281,508,100 ",2013
18,Beauty and the Beast,"$1,273,576,220 ",2017
19,Incredibles 2,"$1,243,089,244 ",2018
20,The Fate of the Furious,"$1,236,005,118 ",2017
21,Iron Man 3,"$1,214,811,252 ",2013
22,Minions,"$1,159,444,662 ",2015
23,Captain America: Civil War,"$1,153,337,496 ",2016
24,Aquaman,"$1,148,528,393 ",2018
25,The Lord of the Rings: The Return of the King,"$1,146,436,214 ",2003
26,Spider-Man: Far from Home,"$1,131,927,996 ",2019
27,Captain Marvel,"$1,128,462,972 ",2019
28,Transformers: Dark of the Moon,"$1,123,794,079 ",2011
29,Skyfall,"$1,108,569,499 ",2012
30,Transformers: Age of Extinction,"$1,104,054,072 ",2014
31,Jurassic Park,"$1,099,699,003 ",1993
32,The Dark Knight Rises,"$1,081,153,097 ",2012
33,Joker,"$1,074,445,730 ",2019
34,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,149,279 ",2019
35,Toy Story 4,"$1,073,394,593 ",2019
36,Toy Story 3,"$1,066,970,811 ",2010
37,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747 ",2006
38,The Lion King,"$1,063,611,805 ",1994
39,Rogue One: A Star Wars Story,"$1,056,057,720 ",2016
40,Aladdin,"$1,050,693,953 ",2019
41,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802 ",2011
42,Despicable Me 3,"$1,034,800,131 ",2017
43,Finding Dory,"$1,028,570,942 ",2016
44,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707 ",1999
45,Alice in Wonderland,"$1,025,468,216 ",2010
46,Zootopia,"$1,024,121,104 ",2016
47,Harry Potter and the Sorcerer's Stone,"$1,022,290,019 ",2001
48,The Hobbit: An Unexpected Journey,"$1,017,030,651 ",2012
49,The Dark Knight,"$1,006,102,277 ",2008
50,Harry Potter and the Deathly Hallows: Part 1,"$977,070,383 ",2010
51,Despicable Me 2,"$970,766,005 ",2013
52,The Jungle Book,"$966,554,929 ",2016
53,Jumanji: Welcome to the Jungle,"$962,542,945 ",2017
54,The Hobbit: The Battle of the Five Armies,"$962,201,338 ",2014
55,Pirates of the Caribbean: At World's End,"$960,996,492 ",2007
56,The Hobbit: The Desolation of Smaug,"$959,027,992 ",2013
57,The Lord of the Rings: The Two Towers,"$947,896,241 ",2002
58,Harry Potter and the Order of the Phoenix,"$942,201,710 ",2007
59,Finding Nemo,"$940,352,645 ",2003
60,Doctor Strange in the Multiverse of Madness,"$935,883,660 ",2022
61,Harry Potter and the Half-Blood Prince,"$934,483,039 ",2009
62,Shrek 2,"$928,760,770 ",2004
63,Bohemian Rhapsody,"$910,809,311 ",2018
64,The Battle at Lake Changjin,"$902,540,935 ",2021
65,The Lord of the Rings: The Fellowship of the Ring,"$898,094,742 ",2001
66,Harry Potter and the Goblet of Fire,"$896,730,264 ",2005
67,Spider-Man 3,"$894,983,373 ",2007
68,Ice Age: Dawn of the Dinosaurs,"$886,686,817 ",2009
69,Spectre,"$880,681,519 ",2015
70,Spider-Man: Homecoming,"$880,166,924 ",2017
71,Harry Potter and the Chamber of Secrets,"$879,914,552 ",2002
72,Ice Age: Continental Drift,"$877,244,782 ",2012
73,The Secret Life of Pets,"$875,458,631 ",2016
74,Batman v Superman: Dawn of Justice,"$873,637,528 ",2016
75,Wolf Warrior 2,"$870,325,439 ",2017
76,Star Wars: Episode III - Revenge of the Sith,"$868,390,560 ",2005
77,The Hunger Games: Catching Fire,"$865,011,746 ",2013
78,Guardians of the Galaxy Vol. 2,"$863,756,051 ",2017
79,Inside Out,"$858,848,019 ",2015
80,Venom,"$856,085,151 ",2018
81,Thor: Ragnarok,"$853,983,879 ",2017
82,Inception,"$836,848,102 ",2010
83,Transformers: Revenge of the Fallen,"$836,303,693 ",2009
84,The Twilight Saga: Breaking Dawn - Part 2,"$829,747,654 ",2012
85,Spider-Man,"$825,025,036 ",2002
86,Wonder Woman,"$822,854,286 ",2017
87,"Hi, Mom","$822,009,764 ",2021
88,Independence Day,"$817,400,891 ",1996
89,Fantastic Beasts and Where to Find Them,"$814,044,001 ",2016
90,Shrek the Third,"$813,367,380 ",2007
91,Coco,"$807,817,888 ",2017
92,Top Gun: Maverick,"$806,367,545 ",2022
93,Jumanji: The Next Level,"$800,059,707 ",2019
94,Harry Potter and the Prisoner of Azkaban,"$797,491,273 ",2004
95,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,881,442 ",2017
96,E.T. the Extra-Terrestrial,"$792,910,554 ",1982
97,Mission: Impossible - Fallout,"$791,657,398 ",2018
98,2012,"$791,217,826 ",2009
99,Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942 ",2008
100,Spider-Man 2,"$788,976,453 ",2004
101,Fast & Furious 6,"$788,680,968 ",2013
102,Deadpool 2,"$785,896,609 ",2018
103,Deadpool,"$782,836,791 ",2016
104,Star Wars,"$775,398,007 ",1977
105,No Time to Die,"$774,153,007 ",2021
106,Guardians of the Galaxy,"$773,350,147 ",2014
107,The Batman,"$770,345,583 ",2022
108,The Da Vinci Code,"$760,006,945 ",2006
109,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935 ",2019
110,Maleficent,"$758,411,779 ",2014
111,The Amazing Spider-Man,"$757,930,663 ",2012
112,The Hunger Games: Mockingjay - Part 1,"$755,356,711 ",2014
113,Shrek Forever After,"$752,600,867 ",2010
114,Madagascar 3: Europe's Most Wanted,"$746,921,274 ",2012
115,Suicide Squad,"$746,846,894 ",2016
116,X-Men: Days of Future Past,"$746,045,700 ",2014
117,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115 ",2005
118,Monsters University,"$743,559,645 ",2013
119,The Matrix Reloaded,"$741,847,937 ",2003
120,Up,"$735,099,102 ",2009
121,Ne Zha,"$726,264,074 ",2019
122,F9: The Fast Saga,"$726,229,501 ",2021
123,Gravity,"$723,192,705 ",2013
124,Captain America: The Winter Soldier,"$714,421,503 ",2014
125,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856 ",2011
126,The Twilight Saga: New Moon,"$711,025,481 ",2009
127,Dawn of the Planet of the Apes,"$710,644,566 ",2014
128,Transformers,"$709,709,780 ",2007
129,The Amazing Spider-Man 2,"$708,982,323 ",2014
130,It,"$701,842,551 ",2017
131,Interstellar,"$701,729,206 ",2014
132,The Wandering Earth,"$699,992,512 ",2019
133,The Twilight Saga: Eclipse,"$698,491,347 ",2010
134,Mission: Impossible - Ghost Protocol,"$694,713,380 ",2011
135,The Hunger Games,"$694,394,724 ",2012
136,Detective Chinatown 3,"$686,257,563 ",2021
137,Mission: Impossible - Rogue Nation,"$682,716,636 ",2015
138,Forrest Gump,"$678,226,133 ",1994
139,Doctor Strange,"$677,796,076 ",2016
140,The Sixth Sense,"$672,806,432 ",1999
141,Man of Steel,"$668,045,518 ",2013
142,Ice Age: The Meltdown,"$667,094,506 ",2006
143,Kung Fu Panda 2,"$665,692,281 ",2011
144,Justice League,"$657,926,987 ",2017
145,Big Hero 6,"$657,869,686 ",2014
146,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901 ",2018
147,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015 ",2003
148,Star Wars: Episode II - Attack of the Clones,"$653,779,970 ",2002
149,The Hunger Games: Mockingjay - Part 2,"$653,428,261 ",2015
150,Thor: The Dark World,"$644,783,140 ",2013
151,Moana,"$643,668,897 ",2016
152,Sing,"$634,338,384 ",2016
153,Kung Fu Panda,"$632,083,197 ",2008
154,The Incredibles,"$631,607,053 ",2004
155,The Martian,"$630,620,818 ",2015
156,Hancock,"$629,443,428 ",2008
157,Water Gate Bridge,"$626,571,280 ",2022
158,Fast Five,"$626,137,675 ",2011
159,Men in Black 3,"$624,026,776 ",2012
160,Iron Man 2,"$623,933,331 ",2010
161,Ratatouille,"$623,726,085 ",2007
162,Ant-Man and the Wasp,"$622,674,139 ",2018
163,How to Train Your Dragon 2,"$621,537,519 ",2014
164,Logan,"$619,179,950 ",2017
165,The Lost World: Jurassic Park,"$618,638,999 ",1997
166,Casino Royale,"$616,502,912 ",2006
167,The Passion of the Christ,"$612,054,506 ",2004
168,Mamma Mia!,"$611,257,819 ",2008
169,Life of Pi,"$609,016,565 ",2012
170,Transformers: The Last Knight,"$605,425,157 ",2017
171,Madagascar: Escape 2 Africa,"$603,900,354 ",2008
172,War of the Worlds,"$603,873,119 ",2005
173,Tangled,"$592,462,816 ",2010
174,Quantum of Solace,"$589,580,482 ",2008
175,Men in Black,"$589,390,539 ",1997
176,The Croods,"$587,235,983 ",2013
177,The Hangover Part II,"$586,764,305 ",2011
178,Iron Man,"$585,796,247 ",2008
179,I Am Legend,"$585,410,052 ",2007
180,Ready Player One,"$582,918,849 ",2018
181,"Monsters, Inc.","$579,707,738 ",2001
182,Operation Red Sea,"$579,330,426 ",2018
183,Night at the Museum,"$574,481,229 ",2006
184,Fifty Shades of Grey,"$569,651,467 ",2015
185,Kong: Skull Island,"$566,652,812 ",2017
186,The Smurfs,"$563,749,323 ",2011
187,Cars 2,"$559,852,396 ",2011
188,King Kong,"$556,906,378 ",2005
189,Puss in Boots,"$554,987,477 ",2011
190,The Mermaid,"$553,810,228 ",2016
191,Armageddon,"$553,709,788 ",1998
192,The Day After Tomorrow,"$552,639,571 ",2004
193,Ted,"$549,368,315 ",2012
194,American Sniper,"$547,459,020 ",2014
195,Mission: Impossible II,"$546,388,108 ",2000
196,Detective Chinatown 2,"$544,185,156 ",2018
197,X-Men: Apocalypse,"$543,934,105 ",2016
198,Sherlock Holmes: A Game of Shadows,"$543,848,418 ",2011
199,Despicable Me,"$543,157,985 ",2010
200,Cinderella,"$542,358,331 ",2015
